query_id,query_text,rank,item_id,semantic_score,relevance_grade
query_000003,PureComfort Activewear,2,item_000250,0.684913,1
query_000003,PureComfort Activewear,3,item_000330,0.684913,1
query_000003,PureComfort Activewear,4,item_000396,0.683628,1
query_000003,PureComfort Activewear,5,item_000467,0.683628,1
query_000003,PureComfort Activewear,6,item_000364,0.671891,1
query_000003,PureComfort Activewear,7,item_000413,0.669367,1
query_000003,PureComfort Activewear,8,item_000490,0.666902,1
query_000003,PureComfort Activewear,9,item_000016,0.665633,1
query_000003,PureComfort Activewear,10,item_000169,0.660151,1
query_000003,PureComfort Activewear,11,item_000312,0.660151,1
query_000003,PureComfort Activewear,12,item_000149,0.656635,1
query_000003,PureComfort Activewear,13,item_000063,0.636332,1
query_000003,PureComfort Activewear,14,item_000292,0.636194,1
query_000003,PureComfort Activewear,15,item_000281,0.632502,1
query_000003,PureComfort Activewear,16,item_000206,0.630768,1
query_000003,PureComfort Activewear,17,item_000384,0.628349,1
query_000003,PureComfort Activewear,18,item_000161,0.626274,1
query_000003,PureComfort Activewear,19,item_000498,0.626274,1
query_000003,PureComfort Activewear,20,item_000080,0.625694,1
query_000004,BrainBoost Outdoor Toys,1,item_000448,0.834048,3
query_000004,BrainBoost Outdoor Toys,2,item_000163,0.833775,3
query_000004,BrainBoost Outdoor Toys,3,item_000390,0.833775,3
query_000004,BrainBoost Outdoor Toys,4,item_000028,0.827069,3
query_000004,BrainBoost Outdoor Toys,5,item_000120,0.826841,3
query_000004,BrainBoost Outdoor Toys,6,item_000494,0.823602,3
query_000004,BrainBoost Outdoor Toys,7,item_000370,0.821653,3
query_000004,BrainBoost Outdoor Toys,8,item_000456,0.821653,3
query_000004,BrainBoost Outdoor Toys,9,item_000245,0.819885,3
query_000004,BrainBoost Outdoor Toys,10,item_000374,0.817562,2
query_000004,BrainBoost Outdoor Toys,11,item_000141,0.815959,3
query_000004,BrainBoost Outdoor Toys,12,item_000285,0.815959,3
query_000004,BrainBoost Outdoor Toys,13,item_000315,0.815959,3
query_000004,BrainBoost Outdoor Toys,14,item_000248,0.815768,3
query_000004,BrainBoost Outdoor Toys,15,item_000365,0.815148,2
query_000004,BrainBoost Outdoor Toys,16,item_000021,0.814062,3
query_000004,BrainBoost Outdoor Toys,17,item_000222,0.814062,3
query_000004,BrainBoost Outdoor Toys,18,item_000300,0.814062,3
query_000004,BrainBoost Outdoor Toys,19,item_000392,0.813815,3
query_000004,BrainBoost Outdoor Toys,20,item_000302,0.813595,2
query_000005,affordable cameras for everyday use,1,item_000121,0.441209,0
query_000005,affordable cameras for everyday use,2,item_000117,0.412446,0
query_000005,affordable cameras for everyday use,3,item_000217,0.412446,0
query_000005,affordable cameras for everyday use,4,item_000228,0.412446,0
query_000005,affordable cameras for everyday use,5,item_000183,0.409193,0
query_000005,affordable cameras for everyday use,6,item_000231,0.409193,0
query_000005,affordable cameras for everyday use,7,item_000417,0.409193,0
query_000005,affordable cameras for everyday use,8,item_000344,0.408135,1
query_000005,affordable cameras for everyday use,9,item_000160,0.407213,0
query_000005,affordable cameras for everyday use,10,item_000497,0.407213,0
query_000005,affordable cameras for everyday use,11,item_000062,0.397393,0
query_000005,affordable cameras for everyday use,12,item_000214,0.397393,0
query_000005,affordable cameras for everyday use,13,item_000102,0.394218,1
query_000005,affordable cameras for everyday use,14,item_000299,0.394218,1
query_000005,affordable cameras for everyday use,15,item_000310,0.394218,1
query_000005,affordable cameras for everyday use,16,item_000015,0.392127,2
query_000005,affordable cameras for everyday use,17,item_000230,0.392127,0
query_000005,affordable cameras for everyday use,18,item_000173,0.387069,0
query_000005,affordable cameras for everyday use,19,item_000215,0.387069,0
query_000005,affordable cameras for everyday use,20,item_000290,0.387069,0
query_000006,PureBloom skincare review,1,item_000279,0.858425,2
query_000006,PureBloom skincare review,2,item_000006,0.855362,2
query_000006,PureBloom skincare review,3,item_000144,0.847248,2
query_000006,PureBloom skincare review,4,item_000500,0.847248,2
query_000006,PureBloom skincare review,5,item_000123,0.835080,2
query_000006,PureBloom skincare review,6,item_000333,0.835080,2
query_000006,PureBloom skincare review,7,item_000273,0.830257,2
query_000006,PureBloom skincare review,8,item_000305,0.824555,2
query_000006,PureBloom skincare review,9,item_000485,0.824091,2
query_000006,PureBloom skincare review,10,item_000182,0.823228,2
query_000006,PureBloom skincare review,11,item_000236,0.823228,2
query_000006,PureBloom skincare review,12,item_000443,0.823228,2
query_000006,PureBloom skincare review,13,item_000345,0.823152,2
query_000006,PureBloom skincare review,14,item_000366,0.823152,2
query_000006,PureBloom skincare review,15,item_000090,0.818548,2
query_000006,PureBloom skincare review,16,item_000226,0.817159,2
query_000006,PureBloom skincare review,17,item_000098,0.816969,2
query_000006,PureBloom skincare review,18,item_000293,0.816969,2
query_000006,PureBloom skincare review,19,item_000012,0.815068,2
query_000006,PureBloom skincare review,20,item_000046,0.815068,2
query_000007,PureBite Baking,1,item_000397,0.842315,0
query_000007,PureBite Baking,2,item_000221,0.826848,0
query_000007,PureBite Baking,3,item_000061,0.821156,0
query_000007,PureBite Baking,4,item_000232,0.807447,0
query_000007,PureBite Baking,5,item_000329,0.784701,0
query_000007,PureBite Baking,6,item_000371,0.784701,0
query_000007,PureBite Baking,7,item_000349,0.777151,0
query_000007,PureBite Baking,8,item_000048,0.764410,0
query_000007,PureBite Baking,9,item_000172,0.762722,0
query_000007,PureBite Baking,10,item_000067,0.762500,0
query_000007,PureBite Baking,11,item_000270,0.762500,0
query_000007,PureBite Baking,12,item_000151,0.761944,0
query_000007,PureBite Baking,13,item_000207,0.756644,0
query_000007,PureBite Baking,14,item_000153,0.756588,0
query_000007,PureBite Baking,15,item_000069,0.756096,0
query_000007,PureBite Baking,16,item_000105,0.756096,0
query_000007,PureBite Baking,17,item_000152,0.745288,0
query_000007,PureBite Baking,18,item_000049,0.744112,0
query_000007,PureBite Baking,19,item_000199,0.740280,0
query_000007,PureBite Baking,20,item_000252,0.740280,0
query_000008,BrainBoost Puzzles,1,item_000365,0.881437,2
query_000008,BrainBoost Puzzles,2,item_000302,0.879421,2
query_000008,BrainBoost Puzzles,3,item_000108,0.876381,2
query_000008,BrainBoost Puzzles,4,item_000446,0.876381,2
query_000008,BrainBoost Puzzles,5,item_000029,0.875738,2
query_000008,BrainBoost Puzzles,6,item_000318,0.875738,2
query_000008,BrainBoost Puzzles,7,item_000374,0.871647,2
query_000008,BrainBoost Puzzles,8,item_000421,0.871100,2
query_000008,BrainBoost Puzzles,9,item_000249,0.867207,2
query_000008,BrainBoost Puzzles,10,item_000115,0.855101,2
query_000008,BrainBoost Puzzles,11,item_000054,0.850807,2
query_000008,BrainBoost Puzzles,12,item_000386,0.841751,2
query_000008,BrainBoost Puzzles,13,item_000074,0.837778,2
query_000008,BrainBoost Puzzles,14,item_000311,0.837778,2
query_000008,BrainBoost Puzzles,15,item_000350,0.837778,2
query_000008,BrainBoost Puzzles,16,item_000442,0.831065,2
query_000008,BrainBoost Puzzles,17,item_000475,0.831065,2
query_000008,BrainBoost Puzzles,18,item_000044,0.829944,2
query_000008,BrainBoost Puzzles,19,item_000375,0.829944,2
query_000008,BrainBoost Puzzles,20,item_000432,0.829944,2
query_000009,DriveSafe Oils & Fluids,1,item_000184,0.884074,3
query_000009,DriveSafe Oils & Fluids,2,item_000192,0.874966,3
query_000009,DriveSafe Oils & Fluids,3,item_000288,0.861843,3
query_000009,DriveSafe Oils & Fluids,4,item_000296,0.861843,3
query_000009,DriveSafe Oils & Fluids,5,item_000071,0.858309,3
query_000009,DriveSafe Oils & Fluids,6,item_000307,0.856724,3
query_000009,DriveSafe Oils & Fluids,7,item_000171,0.849587,3
query_000009,DriveSafe Oils & Fluids,8,item_000452,0.847611,3
query_000009,DriveSafe Oils & Fluids,9,item_000132,0.847240,3
query_000009,DriveSafe Oils & Fluids,10,item_000339,0.847240,3
query_000009,DriveSafe Oils & Fluids,11,item_000268,0.845562,3
query_000009,DriveSafe Oils & Fluids,12,item_000477,0.845562,3
query_000009,DriveSafe Oils & Fluids,13,item_000363,0.842493,3
query_000009,DriveSafe Oils & Fluids,14,item_000128,0.842463,3
query_000009,DriveSafe Oils & Fluids,15,item_000143,0.842463,3
query_000009,DriveSafe Oils & Fluids,16,item_000039,0.840575,3
query_000009,DriveSafe Oils & Fluids,17,item_000342,0.838769,3
query_000009,DriveSafe Oils & Fluids,18,item_000304,0.835593,3
query_000009,DriveSafe Oils & Fluids,19,item_000178,0.835003,3
query_000009,DriveSafe Oils & Fluids,20,item_000489,0.834734,3
query_000010,affordable tires for everyday use,1,item_000121,0.440236,0
query_000010,affordable tires for everyday use,2,item_000117,0.411704,0
query_000010,affordable tires for everyday use,3,item_000217,0.411704,0
query_000010,affordable tires for everyday use,4,item_000228,0.411704,0
query_000010,affordable tires for everyday use,5,item_000344,0.411115,0
query_000010,affordable tires for everyday use,6,item_000183,0.408245,0
query_000010,affordable tires for everyday use,7,item_000231,0.408245,0
query_000010,affordable tires for everyday use,8,item_000417,0.408245,0
query_000010,affordable tires for everyday use,9,item_000102,0.399151,0
query_000010,affordable tires for everyday use,10,item_000299,0.399151,0
query_000010,affordable tires for everyday use,11,item_000310,0.399151,0
query_000010,affordable tires for everyday use,12,item_000015,0.396919,0
query_000010,affordable tires for everyday use,13,item_000230,0.396919,0
query_000010,affordable tires for everyday use,14,item_000062,0.396604,0
query_000010,affordable tires for everyday use,15,item_000214,0.396604,0
query_000010,affordable tires for everyday use,16,item_000094,0.396061,0
query_000010,affordable tires for everyday use,17,item_000194,0.396061,0
query_000010,affordable tires for everyday use,18,item_000202,0.396061,0
query_000010,affordable tires for everyday use,19,item_000418,0.396061,0
query_000010,affordable tires for everyday use,20,item_000160,0.395279,0
query_000011,affordable oils & fluids for everyday use,1,item_000304,0.729382,3
query_000011,affordable oils & fluids for everyday use,2,item_000354,0.664394,3
query_000011,affordable oils & fluids for everyday use,3,item_000409,0.664394,3
query_000011,affordable oils & fluids for everyday use,4,item_000488,0.664394,3
query_000011,affordable oils & fluids for everyday use,5,item_000256,0.585390,3
query_000011,affordable oils & fluids for everyday use,6,item_000136,0.580308,3
query_000011,affordable oils & fluids for everyday use,7,item_000452,0.576902,3
query_000011,affordable oils & fluids for everyday use,8,item_000039,0.573486,3
query_000011,affordable oils & fluids for everyday use,9,item_000307,0.573284,3
query_000011,affordable oils & fluids for everyday use,10,item_000045,0.572408,3
query_000011,affordable oils & fluids for everyday use,11,item_000103,0.572408,3
query_000011,affordable oils & fluids for everyday use,12,item_000389,0.572408,3
query_000011,affordable oils & fluids for everyday use,13,item_000019,0.568048,3
query_000011,affordable oils & fluids for everyday use,14,item_000445,0.568048,3
query_000011,affordable oils & fluids for everyday use,15,item_000338,0.567470,3
query_000011,affordable oils & fluids for everyday use,16,item_000132,0.567392,3
query_000011,affordable oils & fluids for everyday use,17,item_000339,0.567392,3
query_000011,affordable oils & fluids for everyday use,18,item_000431,0.562104,3
query_000011,affordable oils & fluids for everyday use,19,item_000184,0.543177,3
query_000011,affordable oils & fluids for everyday use,20,item_000342,0.540782,3
query_000012,TrailMaster Cycling,1,item_000187,0.813719,0
query_000012,TrailMaster Cycling,2,item_000399,0.813199,0
query_000012,TrailMaster Cycling,3,item_000025,0.810969,0
query_000012,TrailMaster Cycling,4,item_000463,0.810969,0
query_000012,TrailMaster Cycling,5,item_000237,0.789493,0
query_000012,TrailMaster Cycling,6,item_000274,0.789493,0
query_000012,TrailMaster Cycling,7,item_000306,0.789493,0
query_000012,TrailMaster Cycling,8,item_000040,0.782744,0
query_000012,TrailMaster Cycling,9,item_000133,0.782744,0
query_000012,TrailMaster Cycling,10,item_000195,0.781233,0
query_000012,TrailMaster Cycling,11,item_000204,0.781233,0
query_000012,TrailMaster Cycling,12,item_000391,0.781233,0
query_000012,TrailMaster Cycling,13,item_000138,0.778791,0
query_000012,TrailMaster Cycling,14,item_000176,0.778791,0
query_000012,TrailMaster Cycling,15,item_000126,0.770260,0
query_000012,TrailMaster Cycling,16,item_000026,0.765803,0
query_000012,TrailMaster Cycling,17,item_000478,0.764349,0
query_000012,TrailMaster Cycling,18,item_000301,0.762325,0
query_000012,TrailMaster Cycling,19,item_000272,0.757521,0
query_000012,TrailMaster Cycling,20,item_000066,0.757096,0
query_000013,ChefElite furniture review,1,item_000057,0.850000,2
query_000013,ChefElite furniture review,2,item_000191,0.850000,2
query_000013,ChefElite furniture review,3,item_000440,0.850000,2
query_000013,ChefElite furniture review,4,item_000049,0.849317,2
query_000013,ChefElite furniture review,5,item_000199,0.847585,2
query_000013,ChefElite furniture review,6,item_000252,0.847585,2
query_000013,ChefElite furniture review,7,item_000055,0.836726,2
query_000013,ChefElite furniture review,8,item_000253,0.836726,2
query_000013,ChefElite furniture review,9,item_000319,0.836726,2
query_000013,ChefElite furniture review,10,item_000380,0.836726,2
query_000013,ChefElite furniture review,11,item_000473,0.836135,2
query_000013,ChefElite furniture review,12,item_000397,0.832441,2
query_000013,ChefElite furniture review,13,item_000065,0.830456,2
query_000013,ChefElite furniture review,14,item_000329,0.827450,2
query_000013,ChefElite furniture review,15,item_000371,0.827450,2
query_000013,ChefElite furniture review,16,item_000349,0.817264,2
query_000013,ChefElite furniture review,17,item_000221,0.814423,2
query_000013,ChefElite furniture review,18,item_000061,0.812723,2
query_000013,ChefElite furniture review,19,item_000067,0.805794,2
query_000013,ChefElite furniture review,20,item_000270,0.805794,2
query_000014,affordable camping gear for everyday use,1,item_000094,0.448180,0
query_000014,affordable camping gear for everyday use,2,item_000194,0.448180,0
query_000014,affordable camping gear for everyday use,3,item_000202,0.448180,0
query_000014,affordable camping gear for everyday use,4,item_000418,0.448180,0
query_000014,affordable camping gear for everyday use,5,item_000121,0.437235,0
query_000014,affordable camping gear for everyday use,6,item_000183,0.430910,0
query_000014,affordable camping gear for everyday use,7,item_000231,0.430910,0
query_000014,affordable camping gear for everyday use,8,item_000417,0.430910,0
query_000014,affordable camping gear for everyday use,9,item_000382,0.426694,0
query_000014,affordable camping gear for everyday use,10,item_000400,0.426694,0
query_000014,affordable camping gear for everyday use,11,item_000344,0.414954,0
query_000014,affordable camping gear for everyday use,12,item_000160,0.414197,0
query_000014,affordable camping gear for everyday use,13,item_000497,0.414197,0
query_000014,affordable camping gear for everyday use,14,item_000117,0.408659,0
query_000014,affordable camping gear for everyday use,15,item_000217,0.408659,0
query_000014,affordable camping gear for everyday use,16,item_000228,0.408659,0
query_000014,affordable camping gear for everyday use,17,item_000062,0.394033,2
query_000014,affordable camping gear for everyday use,18,item_000214,0.394033,2
query_000014,affordable camping gear for everyday use,19,item_000102,0.390616,0
query_000014,affordable camping gear for everyday use,20,item_000299,0.390616,0
query_000015,AdventureZone Board Games,1,item_000163,0.764446,2
query_000015,AdventureZone Board Games,2,item_000390,0.764446,2
query_000015,AdventureZone Board Games,3,item_000021,0.755148,2
query_000015,AdventureZone Board Games,4,item_000222,0.755148,2
query_000015,AdventureZone Board Games,5,item_000300,0.755148,2
query_000015,AdventureZone Board Games,6,item_000120,0.749120,2
query_000015,AdventureZone Board Games,7,item_000392,0.746155,2
query_000015,AdventureZone Board Games,8,item_000370,0.726000,2
query_000015,AdventureZone Board Games,9,item_000456,0.726000,2
query_000015,AdventureZone Board Games,10,item_000448,0.723304,2
query_000015,AdventureZone Board Games,11,item_000245,0.720393,2
query_000015,AdventureZone Board Games,12,item_000028,0.715374,2
query_000015,AdventureZone Board Games,13,item_000248,0.714994,2
query_000015,AdventureZone Board Games,14,item_000427,0.701991,2
query_000015,AdventureZone Board Games,15,item_000454,0.701991,2
query_000015,AdventureZone Board Games,16,item_000141,0.701200,2
query_000015,AdventureZone Board Games,17,item_000285,0.701200,2
query_000015,AdventureZone Board Games,18,item_000315,0.701200,2
query_000015,AdventureZone Board Games,19,item_000059,0.699034,2
query_000015,AdventureZone Board Games,20,item_000124,0.699034,2
query_000016,ReadersGate Fiction,1,item_000442,0.917573,0
query_000016,ReadersGate Fiction,2,item_000475,0.917573,0
query_000016,ReadersGate Fiction,3,item_000115,0.875941,0
query_000016,ReadersGate Fiction,4,item_000245,0.867919,0
query_000016,ReadersGate Fiction,5,item_000054,0.864944,0
query_000016,ReadersGate Fiction,6,item_000074,0.857907,0
query_000016,ReadersGate Fiction,7,item_000311,0.857907,0
query_000016,ReadersGate Fiction,8,item_000350,0.857907,0
query_000016,ReadersGate Fiction,9,item_000386,0.855915,0
query_000016,ReadersGate Fiction,10,item_000142,0.833566,0
query_000016,ReadersGate Fiction,11,item_000044,0.830706,0
query_000016,ReadersGate Fiction,12,item_000375,0.830706,0
query_000016,ReadersGate Fiction,13,item_000432,0.830706,0
query_000016,ReadersGate Fiction,14,item_000034,0.829055,0
query_000016,ReadersGate Fiction,15,item_000496,0.829055,0
query_000016,ReadersGate Fiction,16,item_000494,0.816849,0
query_000016,ReadersGate Fiction,17,item_000302,0.814399,0
query_000016,ReadersGate Fiction,18,item_000145,0.814362,0
query_000016,ReadersGate Fiction,19,item_000465,0.814362,0
query_000016,ReadersGate Fiction,20,item_000032,0.812849,0
query_000017,CleanShield Vitamins,1,item_000269,0.671687,2
query_000017,CleanShield Vitamins,2,item_000303,0.671687,2
query_000017,CleanShield Vitamins,3,item_000298,0.571358,1
query_000017,CleanShield Vitamins,4,item_000037,0.562169,1
query_000017,CleanShield Vitamins,5,item_000168,0.471987,0
query_000017,CleanShield Vitamins,6,item_000331,0.463392,1
query_000017,CleanShield Vitamins,7,item_000113,0.457936,2
query_000017,CleanShield Vitamins,8,item_000135,0.456001,0
query_000017,CleanShield Vitamins,9,item_000377,0.456001,0
query_000017,CleanShield Vitamins,10,item_000358,0.441417,2
query_000017,CleanShield Vitamins,11,item_000139,0.441407,2
query_000017,CleanShield Vitamins,12,item_000229,0.441407,2
query_000017,CleanShield Vitamins,13,item_000086,0.435728,2
query_000017,CleanShield Vitamins,14,item_000324,0.435728,2
query_000017,CleanShield Vitamins,15,item_000356,0.435728,2
query_000017,CleanShield Vitamins,16,item_000002,0.431372,2
query_000017,CleanShield Vitamins,17,item_000393,0.431372,2
query_000017,CleanShield Vitamins,18,item_000436,0.430807,2
query_000017,CleanShield Vitamins,19,item_000480,0.430295,2
query_000017,CleanShield Vitamins,20,item_000001,0.407525,2
query_000018,best spices,1,item_000301,0.820389,2
query_000018,best spices,2,item_000478,0.816937,2
query_000018,best spices,3,item_000272,0.816175,2
query_000018,best spices,4,item_000013,0.811276,2
query_000018,best spices,5,item_000264,0.811276,2
query_000018,best spices,6,item_000066,0.810737,2
query_000018,best spices,7,item_000185,0.810737,2
query_000018,best spices,8,item_000479,0.810737,2
query_000018,best spices,9,item_000026,0.802273,2
query_000018,best spices,10,item_000092,0.800824,2
query_000018,best spices,11,item_000282,0.800824,2
query_000018,best spices,12,item_000280,0.796948,2
query_000018,best spices,13,item_000335,0.789497,2
query_000018,best spices,14,item_000237,0.789354,2
query_000018,best spices,15,item_000274,0.789354,2
query_000018,best spices,16,item_000306,0.789354,2
query_000018,best spices,17,item_000025,0.780404,2
query_000018,best spices,18,item_000463,0.780404,2
query_000018,best spices,19,item_000089,0.775913,2
query_000018,best spices,20,item_000187,0.775434,2
query_000019,best skincare,1,item_000279,0.860930,2
query_000019,best skincare,2,item_000006,0.857493,2
query_000019,best skincare,3,item_000144,0.850671,2
query_000019,best skincare,4,item_000500,0.850671,2
query_000019,best skincare,5,item_000123,0.838402,2
query_000019,best skincare,6,item_000333,0.838402,2
query_000019,best skincare,7,item_000273,0.833229,2
query_000019,best skincare,8,item_000305,0.828413,2
query_000019,best skincare,9,item_000485,0.827484,2
query_000019,best skincare,10,item_000182,0.826143,2
query_000019,best skincare,11,item_000236,0.826143,2
query_000019,best skincare,12,item_000443,0.826143,2
query_000019,best skincare,13,item_000226,0.821474,2
query_000019,best skincare,14,item_000098,0.820355,2
query_000019,best skincare,15,item_000293,0.820355,2
query_000019,best skincare,16,item_000345,0.817777,2
query_000019,best skincare,17,item_000366,0.817777,2
query_000019,best skincare,18,item_000090,0.813713,2
query_000019,best skincare,19,item_000160,0.813400,2
query_000019,best skincare,20,item_000497,0.813400,2
query_000020,affordable puzzles for everyday use,1,item_000121,0.441146,0
query_000020,affordable puzzles for everyday use,2,item_000117,0.412505,0
query_000020,affordable puzzles for everyday use,3,item_000217,0.412505,0
query_000020,affordable puzzles for everyday use,4,item_000228,0.412505,0
query_000020,affordable puzzles for everyday use,5,item_000344,0.411785,0
query_000020,affordable puzzles for everyday use,6,item_000183,0.409095,0
query_000020,affordable puzzles for everyday use,7,item_000231,0.409095,0
query_000020,affordable puzzles for everyday use,8,item_000417,0.409095,0
query_000020,affordable puzzles for everyday use,9,item_000102,0.399703,0
query_000020,affordable puzzles for everyday use,10,item_000299,0.399703,0
query_000020,affordable puzzles for everyday use,11,item_000310,0.399703,0
query_000020,affordable puzzles for everyday use,12,item_000015,0.397714,0
query_000020,affordable puzzles for everyday use,13,item_000230,0.397714,0
query_000020,affordable puzzles for everyday use,14,item_000062,0.397481,0
query_000020,affordable puzzles for everyday use,15,item_000214,0.397481,0
query_000020,affordable puzzles for everyday use,16,item_000160,0.396308,0
query_000020,affordable puzzles for everyday use,17,item_000497,0.396308,0
query_000020,affordable puzzles for everyday use,18,item_000094,0.387956,0
query_000020,affordable puzzles for everyday use,19,item_000194,0.387956,0
query_000020,affordable puzzles for everyday use,20,item_000202,0.387956,0
query_000021,best baking,1,item_000397,0.650462,0
query_000021,best baking,2,item_000221,0.649079,0
query_000021,best baking,3,item_000061,0.633962,0
query_000021,best baking,4,item_000232,0.631815,0
query_000021,best baking,5,item_000151,0.584407,0
query_000021,best baking,6,item_000172,0.563362,0
query_000021,best baking,7,item_000123,0.560209,0
query_000021,best baking,8,item_000333,0.560209,0
query_000021,best baking,9,item_000349,0.558192,0
query_000021,best baking,10,item_000226,0.556894,0
query_000021,best baking,11,item_000305,0.555664,0
query_000021,best baking,12,item_000048,0.555275,0
query_000021,best baking,13,item_000329,0.553647,0
query_000021,best baking,14,item_000371,0.553647,0
query_000021,best baking,15,item_000182,0.552658,0
query_000021,best baking,16,item_000236,0.552658,0
query_000021,best baking,17,item_000443,0.552658,0
query_000021,best baking,18,item_000049,0.552023,0
query_000021,best baking,19,item_000473,0.551472,0
query_000021,best baking,20,item_000052,0.550958,0
query_000022,affordable activewear for everyday use,1,item_000094,0.519731,1
query_000022,affordable activewear for everyday use,2,item_000194,0.519731,1
query_000022,affordable activewear for everyday use,3,item_000202,0.519731,1
query_000022,affordable activewear for everyday use,4,item_000418,0.519731,1
query_000022,affordable activewear for everyday use,5,item_000382,0.500547,1
query_000022,affordable activewear for everyday use,6,item_000400,0.500547,1
query_000022,affordable activewear for everyday use,7,item_000044,0.474685,0
query_000022,affordable activewear for everyday use,8,item_000375,0.474685,0
query_000022,affordable activewear for everyday use,9,item_000432,0.474685,0
query_000022,affordable activewear for everyday use,10,item_000082,0.449660,1
query_000022,affordable activewear for everyday use,11,item_000177,0.449660,1
query_000022,affordable activewear for everyday use,12,item_000361,0.449660,1
query_000022,affordable activewear for everyday use,13,item_000141,0.436994,0
query_000022,affordable activewear for everyday use,14,item_000285,0.436994,0
query_000022,affordable activewear for everyday use,15,item_000315,0.436994,0
query_000022,affordable activewear for everyday use,16,item_000121,0.423633,0
query_000022,affordable activewear for everyday use,17,item_000029,0.396809,0
query_000022,affordable activewear for everyday use,18,item_000318,0.396809,0
query_000022,affordable activewear for everyday use,19,item_000344,0.396395,0
query_000022,affordable activewear for everyday use,20,item_000117,0.395657,0
query_000023,best tires,1,item_000054,0.800676,0
query_000023,best tires,2,item_000302,0.793786,0
query_000023,best tires,3,item_000374,0.785917,0
query_000023,best tires,4,item_000365,0.784738,0
query_000023,best tires,5,item_000370,0.783660,0
query_000023,best tires,6,item_000456,0.783660,0
query_000023,best tires,7,item_000421,0.783133,0
query_000023,best tires,8,item_000142,0.779638,0
query_000023,best tires,9,item_000248,0.772044,0
query_000023,best tires,10,item_000249,0.770256,0
query_000023,best tires,11,item_000108,0.769962,0
query_000023,best tires,12,item_000446,0.769962,0
query_000023,best tires,13,item_000032,0.764382,0
query_000023,best tires,14,item_000091,0.764382,0
query_000023,best tires,15,item_000034,0.759615,0
query_000023,best tires,16,item_000496,0.759615,0
query_000023,best tires,17,item_000021,0.759182,0
query_000023,best tires,18,item_000222,0.759182,0
query_000023,best tires,19,item_000300,0.759182,0
query_000023,best tires,20,item_000494,0.757541,0
query_000024,NovaDigital smartphones review,1,item_000334,0.851577,2
query_000024,NovaDigital smartphones review,2,item_000352,0.851577,2
query_000024,NovaDigital smartphones review,3,item_000323,0.850745,2
query_000024,NovaDigital smartphones review,4,item_000355,0.840746,2
query_000024,NovaDigital smartphones review,5,item_000419,0.821890,2
query_000024,NovaDigital smartphones review,6,item_000343,0.820765,2
query_000024,NovaDigital smartphones review,7,item_000360,0.820765,2
query_000024,NovaDigital smartphones review,8,item_000373,0.820765,2
query_000024,NovaDigital smartphones review,9,item_000492,0.818629,2
query_000024,NovaDigital smartphones review,10,item_000093,0.818584,2
query_000024,NovaDigital smartphones review,11,item_000209,0.818231,2
query_000024,NovaDigital smartphones review,12,item_000346,0.818231,2
query_000024,NovaDigital smartphones review,13,item_000102,0.818014,2
query_000024,NovaDigital smartphones review,14,item_000299,0.818014,2
query_000024,NovaDigital smartphones review,15,item_000310,0.818014,2
query_000024,NovaDigital smartphones review,16,item_000344,0.813024,2
