query_id,query_text,precision_at_5,recall_at_5,mrr_at_5,ndcg_at_5,precision_at_10,recall_at_10,mrr_at_10,ndcg_at_10,precision_at_20,recall_at_20,mrr_at_20,ndcg_at_20
query_000014,affordable camping gear for everyday use,0.2,0.02,0.25,0.04868944994756882,0.1,0.02,0.25,0.031596121456516926,0.05,0.02,0.25,0.02039110512601062
query_000015,AdventureZone Board Games,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000016,ReadersGate Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000017,CleanShield Vitamins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000018,best spices,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4366401114579206
query_000019,best skincare,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.49365591602586256
query_000020,affordable puzzles for everyday use,0.0,0.0,0.0,0.0,0.2,0.04,0.16666666666666666,0.050587397026011796,0.1,0.04,0.16666666666666666,0.032647454284167605
query_000021,best baking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000022,affordable activewear for everyday use,0.2,0.0196078431372549,1.0,0.6062493248765826,0.4,0.0784313725490196,1.0,0.5968555486361005,0.2,0.0784313725490196,1.0,0.43201811426051995
query_000023,best tires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000024,NovaDigital smartphones review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000025,OrganicRoots beverages review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000026,best fitness equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000027,best air quality,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000028,best puzzles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000029,FunCraft Puzzles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000030,QuantumTech Laptops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000031,CozyNest Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000032,HomeCraft Cookware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000033,best organic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000034,PureBite Organic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000035,NatureScent Fragrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000036,SilkTouch makeup review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000037,MechPro Tires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000038,HomeCraft bedding review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000039,FitGear Pro Fitness Equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000040,AutoGuard car accessories review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000041,best hair care,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000042,PlayWorld board games review,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000043,CleanShield paper goods review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000044,BrainBoost Educational,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000045,affordable women's dresses for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,0.9241692997962327
query_000046,MechPro tools & equipment review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000047,FarmFresh baking review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000048,SilkTouch Skincare,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.49365591602586256
query_000049,RadianceCo Skincare,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.49365591602586256
query_000050,affordable headphones for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000051,best smartphones,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000052,AtlasBooks Non-Fiction,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.5451878793510223
query_000053,ModernSpace Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000054,affordable spices for everyday use,0.6,0.06,1.0,0.4066428754974411,0.6,0.12,1.0,0.34930035904693413,0.8,0.32,1.0,0.3845179855185151
query_000055,PlayWorld Puzzles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000056,affordable wearables for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000057,affordable cameras for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000058,best men's shirts,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000059,affordable action figures for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,0.904312058254022
query_000060,RoadMaster Tools & Equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000061,affordable yoga for everyday use,1.0,0.1,1.0,0.9250256699929476,1.0,0.2,1.0,0.7507362615372718,0.65,0.26,1.0,0.5339202943243145
query_000062,best lighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000063,CleanShield Cleaning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000064,KidGenius puzzles review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000065,OrganicRoots Spices,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4366401114579206
query_000066,affordable tools & equipment for everyday use,0.2,0.02,0.2,0.14378166738873713,0.1,0.02,0.2,0.12005646004068783,0.05,0.02,0.2,0.09541334599907829
query_000067,best comics,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000068,affordable baking for everyday use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.05,0.011016943125681791
query_000069,EcoFresh air quality review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000070,ZenYoga Swimming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000071,best wearables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000072,best action figures,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.44705045208475414
query_000073,PenPoint Press children's books review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000074,affordable non-fiction for everyday use,0.4,0.0392156862745098,1.0,0.7337495705923308,0.2,0.0392156862745098,1.0,0.5548860438136117,0.3,0.11764705882352941,1.0,0.5149387368322724
query_000075,affordable action figures for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,0.904312058254022
query_000076,affordable tools & equipment for everyday use,0.2,0.02,0.2,0.14378166738873713,0.1,0.02,0.2,0.12005646004068783,0.05,0.02,0.2,0.09541334599907829
query_000077,best vitamins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000078,best fitness equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000079,FarmFresh Spices,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4366401114579206
query_000080,SilkTouch Fragrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000081,best jackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000082,BrainBoost action figures review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000083,EleganceWear jackets review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000084,StoryWeave Textbooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000085,best furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000086,affordable lighting for everyday use,0.2,0.02,0.3333333333333333,0.05652670087893603,0.1,0.02,0.3333333333333333,0.03668196104968003,0.05,0.02,0.3333333333333333,0.023673339938942883
query_000087,best men's shirts,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000088,best fragrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000089,ApexVision Smartphones,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.46292724659803963,1.0,0.4,1.0,0.5718423645985699
query_000090,best first aid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000091,affordable educational for everyday use,0.0,0.0,0.0,0.0,0.2,0.04,0.16666666666666666,0.050587397026011796,0.1,0.04,0.16666666666666666,0.032647454284167605
query_000092,WellnessPlus Vitamins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000093,BrightMinds Children's Books,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000094,affordable board games for everyday use,1.0,0.1,1.0,0.6312356866612376,0.8,0.16,1.0,0.483359906222361,0.6,0.24,1.0,0.35617927614943573
query_000095,best fitness equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000096,affordable board games for everyday use,1.0,0.1,1.0,0.6312356866612376,0.8,0.16,1.0,0.483359906222361,0.6,0.24,1.0,0.35617927614943573
query_000097,VitaLife paper goods review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000098,affordable men's shirts for everyday use,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,0.85,0.3333333333333333,1.0,0.7550036847892966
query_000099,affordable men's shirts for everyday use,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,0.85,0.3333333333333333,1.0,0.7550036847892966
query_000100,best cycling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000101,best jackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000102,CoreWave Wearables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000103,best furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000104,affordable storage for everyday use,0.2,0.02,0.3333333333333333,0.05652670087893603,0.1,0.02,0.3333333333333333,0.03668196104968003,0.05,0.02,0.3333333333333333,0.023673339938942883
query_000105,best air quality,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000106,affordable electronics for everyday use,0.2,0.0196078431372549,1.0,0.6062493248765826,0.2,0.0392156862745098,1.0,0.5026415527667186,0.1,0.0392156862745098,1.0,0.36382380338337567
query_000107,BrightHome furniture review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000108,affordable cleaning for everyday use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000109,best women's dresses,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000110,QuantumTech smartphones review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000111,best cleaning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000112,affordable wearables for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000113,best comics,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000114,RadianceCo bath & body review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000115,FunCraft Outdoor Toys,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000116,NovaDigital headphones review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000117,best car accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000118,VitaLife cleaning review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000119,PureBloom Bath & Body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000120,affordable puzzles for everyday use,0.0,0.0,0.0,0.0,0.2,0.04,0.16666666666666666,0.050587397026011796,0.1,0.04,0.16666666666666666,0.032647454284167605
query_000121,ApexVision wearables review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000122,best swimming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000123,TrailBlaze Women's Dresses,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000124,best electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000125,PenPoint Press fiction review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000126,PlayWorld Outdoor Toys,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000127,WellnessPlus vitamins review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000128,RoadMaster Electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000129,AutoGuard tools & equipment review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000130,ChefElite storage review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000131,best board games,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000132,KidGenius Action Figures,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.44705045208475414
query_000133,affordable headphones for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000134,PureBite Snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000135,best comics,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000136,best car accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000137,PenPoint Press Comics,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.5451878793510223
query_000138,RoadMaster Oils & Fluids,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000139,AutoGuard tires review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000140,best jackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000141,UrbanStitch jackets review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000142,best fitness equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000143,affordable air quality for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000144,QuantumTech wearables review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000145,best makeup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000146,best paper goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000147,affordable educational for everyday use,0.0,0.0,0.0,0.0,0.2,0.04,0.16666666666666666,0.050587397026011796,0.1,0.04,0.16666666666666666,0.032647454284167605
query_000148,RoadMaster tires review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000149,best snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000150,affordable hair care for everyday use,1.0,0.1,1.0,0.8151510484299679,0.5,0.1,1.0,0.5289772539910653,0.5,0.2,1.0,0.4251614438280146
query_000151,affordable outdoor toys for everyday use,1.0,0.1,1.0,0.6312356866612376,0.8,0.16,1.0,0.483359906222361,0.6,0.24,1.0,0.35617927614943573
query_000152,FarmFresh spices review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000153,affordable vitamins for everyday use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000154,affordable baking for everyday use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.05,0.011016943125681791
query_000155,BrightMinds Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000156,best men's shirts,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000157,best fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000158,EcoFresh cleaning review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000159,CozyNest lighting review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000160,affordable furniture for everyday use,0.2,0.02,0.3333333333333333,0.05652670087893603,0.1,0.02,0.3333333333333333,0.03668196104968003,0.05,0.02,0.3333333333333333,0.023673339938942883
query_000161,GlowLab Hair Care,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000162,NeonFit Men's Shirts,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000163,best bath & body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000164,ApexVision headphones review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000165,FunCraft outdoor toys review,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000166,affordable educational for everyday use,0.0,0.0,0.0,0.0,0.2,0.04,0.16666666666666666,0.050587397026011796,0.1,0.04,0.16666666666666666,0.032647454284167605
query_000167,affordable smartphones for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,0.7,0.28,1.0,0.7970360920361242
query_000168,ApexVision laptops review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000169,affordable snacks for everyday use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.05,0.011016943125681791
query_000170,best first aid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000171,best vitamins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000172,best wearables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000173,TrailBlaze Jackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000174,best shoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000175,best cookware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000176,RadianceCo fragrance review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000177,affordable cameras for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000178,CoreWave cameras review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000179,UrbanStitch Activewear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000180,CleanShield cleaning review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000181,TurboEdge Tires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000182,PureBite spices review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000183,DriveSafe tools & equipment review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000184,best spices,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4366401114579206
query_000185,PeakAscent Fitness Equipment,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000186,FunCraft board games review,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000187,affordable swimming for everyday use,0.2,0.02,0.25,0.04868944994756882,0.1,0.02,0.25,0.031596121456516926,0.05,0.02,0.25,0.02039110512601062
query_000188,CoreWave Smartphones,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.46292724659803963,1.0,0.4,1.0,0.5718423645985699
query_000189,best shoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000190,AtlasBooks Comics,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000191,PenPoint Press Non-Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000192,ReadersGate children's books review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000193,UrbanStitch Women's Dresses,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000194,best lighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000195,best textbooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000196,affordable skincare for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,0.7993894716181981,1.0,0.4,1.0,0.6804595131163704
query_000197,PureCare first aid review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000198,PureBite Spices,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4366401114579206
