request_id,user_id,query_id,profile_status,has_positive_behavior,positive_candidate_coverage,baseline_behavior_ndcg_at_5,personalized_behavior_ndcg_at_5,behavior_ndcg_at_5_delta,baseline_qrels_ndcg_at_5,personalized_qrels_ndcg_at_5,qrels_ndcg_at_5_delta,baseline_behavior_ndcg_at_10,personalized_behavior_ndcg_at_10,behavior_ndcg_at_10_delta,baseline_qrels_ndcg_at_10,personalized_qrels_ndcg_at_10,qrels_ndcg_at_10_delta,baseline_behavior_ndcg_at_20,personalized_behavior_ndcg_at_20,behavior_ndcg_at_20_delta,baseline_qrels_ndcg_at_20,personalized_qrels_ndcg_at_20,qrels_ndcg_at_20_delta
req_000200,user_000088,query_000051,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000206,user_000091,query_000058,warm,true,0.666667,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.000000,0.000000,0.000000,0.694356,0.694356,0.000000,0.058747,0.056953,-0.001795,0.778768,0.778768,0.000000
req_000208,user_000001,query_000149,cold_start,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000209,user_000098,query_000041,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000211,user_000086,query_000147,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022101,0.026002,0.003901
req_000223,user_000086,query_000091,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022101,0.026002,0.003901
req_000227,user_000013,query_000192,warm,true,1.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.289065,0.289065,0.000000,0.694356,0.694356,0.000000,0.289065,0.289065,0.000000,0.675422,0.675422,0.000000
req_000234,user_000034,query_000055,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000256,user_000060,query_000105,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000277,user_000064,query_000076,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097902,0.097902,0.000000,0.000000,0.000000,0.000000,0.077806,0.077806,0.000000
req_000278,user_000056,query_000182,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000291,user_000040,query_000115,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000306,user_000015,query_000074,warm,true,1.000000,0.000000,0.000000,0.000000,0.000000,0.101042,0.101042,0.000000,0.000000,0.000000,0.207258,0.271982,0.064723,0.250000,0.244651,-0.005349,0.262101,0.282439,0.020337
req_000317,user_000078,query_000082,warm,true,0.333333,0.104257,0.104257,0.000000,1.000000,1.000000,0.000000,0.104257,0.104257,0.000000,1.000000,1.000000,0.000000,0.104257,0.104257,0.000000,1.000000,1.000000,0.000000
req_000326,user_000021,query_000085,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000332,user_000035,query_000037,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000335,user_000083,query_000071,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000341,user_000097,query_000195,warm,true,0.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.000000,0.000000,0.000000,0.694356,0.694356,0.000000,0.000000,0.000000,0.000000,0.778768,0.778768,0.000000
req_000343,user_000012,query_000180,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048210,0.048210,0.000000,0.000000,0.000000,0.000000,0.034896,0.034896,0.000000
req_000349,user_000075,query_000031,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000352,user_000062,query_000014,warm,true,0.000000,0.000000,0.000000,0.000000,0.043735,0.056527,0.012792,0.000000,0.000000,0.000000,0.028381,0.036682,0.008301,0.000000,0.000000,0.000000,0.018316,0.023673,0.005357
req_000359,user_000036,query_000035,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000372,user_000079,query_000009,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000376,user_000025,query_000067,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000378,user_000071,query_000162,warm,true,1.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.301030,0.333333,0.032303,0.694356,0.694356,0.000000,0.301030,0.333333,0.032303,0.778768,0.778768,0.000000
req_000383,user_000093,query_000120,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000399,user_000028,query_000197,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000400,user_000055,query_000184,warm,true,0.000000,0.000000,0.000000,0.000000,0.428571,0.428571,0.000000,0.000000,0.000000,0.000000,0.428571,0.428571,0.000000,0.000000,0.000000,0.000000,0.436640,0.436640,0.000000
req_000407,user_000048,query_000049,warm,true,0.500000,0.000000,0.000000,0.000000,0.428571,0.428571,0.000000,0.039449,0.043682,0.004233,0.428571,0.428571,0.000000,0.039449,0.043682,0.004233,0.493656,0.493656,0.000000
req_000414,user_000027,query_000026,warm,true,0.000000,0.000000,0.000000,0.000000,0.518182,0.518182,0.000000,0.000000,0.000000,0.000000,0.551841,0.549723,-0.002118,0.000000,0.000000,0.000000,0.462514,0.462205,-0.000310
req_000418,user_000045,query_000095,warm,true,0.000000,0.000000,0.000000,0.000000,0.518182,0.518182,0.000000,0.000000,0.000000,0.000000,0.551841,0.547967,-0.003874,0.000000,0.000000,0.000000,0.462514,0.461071,-0.001443
req_000433,user_000032,query_000190,warm,true,0.000000,0.000000,0.000000,0.000000,0.744289,0.744289,0.000000,0.000000,0.000000,0.000000,0.747478,0.747478,0.000000,0.000000,0.000000,0.000000,0.815472,0.815472,0.000000
req_000439,user_000071,query_000062,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000452,user_000007,query_000101,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000457,user_000049,query_000092,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.207258,0.207258,0.000000,0.000000,0.000000,0.000000,0.262101,0.262101,0.000000
req_000461,user_000009,query_000074,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000478,user_000053,query_000120,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000480,user_000089,query_000149,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000484,user_000087,query_000041,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000486,user_000038,query_000020,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000493,user_000066,query_000190,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
